,datetime,id,open,high,low,close,volume,open_oi,close_oi,id1,open1,high1,low1,close1,volume1,open_oi1,close_oi1,symbol,symbol1,duration
0,1970-01-01 08:00:00+08:00,-10000.0,,,,,0.0,0.0,0.0,-10000.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
1,1970-01-01 08:00:00+08:00,-9999.0,,,,,0.0,0.0,0.0,-9999.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
2,1970-01-01 08:00:00+08:00,-9998.0,,,,,0.0,0.0,0.0,-9998.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
3,1970-01-01 08:00:00+08:00,-9997.0,,,,,0.0,0.0,0.0,-9997.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
4,1970-01-01 08:00:00+08:00,-9996.0,,,,,0.0,0.0,0.0,-9996.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
5,1970-01-01 08:00:00+08:00,-9995.0,,,,,0.0,0.0,0.0,-9995.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
6,1970-01-01 08:00:00+08:00,-9994.0,,,,,0.0,0.0,0.0,-9994.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
7,1970-01-01 08:00:00+08:00,-9993.0,,,,,0.0,0.0,0.0,-9993.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
8,1970-01-01 08:00:00+08:00,-9992.0,,,,,0.0,0.0,0.0,-9992.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
9,1970-01-01 08:00:00+08:00,-9991.0,,,,,0.0,0.0,0.0,-9991.0,,,,,0.0,0.0,0.0,KQ.m@CFFEX.IC,SSE.000905,86400
